VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDRJDJH7S,King,Seatac,WA,98032.0,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,33.0,282751962,POINT (-122.23741 47.3807),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300.0
7SAYGDEE0P,King,Seattle,WA,98178.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,239895533,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902.0
7SAYGDEE4T,Clark,Vancouver,WA,98683.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,283080668,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325.0
2C4RC1L7XM,Kitsap,Bainbridge Island,WA,98110.0,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,23.0,280943785,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035091002.0
5NMMCET18R,King,Seattle,WA,98106.0,2024,GENESIS,GV70,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,268354684,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011300.0
7YAMYFS58T,Snohomish,Marysville,WA,98271.0,2026,HYUNDAI,IONIQ 9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,38.0,285717603,POINT (-122.17138 48.10433),PUGET SOUND ENERGY INC,53061940001.0
5YJSA1E25G,Clark,Vancouver,WA,98662.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,49.0,151705347,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041114.0
5YJ3E1EA3P,Pierce,Gig Harbor,WA,98329.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,251649177,POINT (-122.6658 47.38336),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072602.0
5YJYGDEE0M,Whatcom,Bellingham,WA,98225.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,42.0,157397096,POINT (-122.47091 48.75256),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000502.0
5YJ3E1EB7N,Pierce,Bonney Lake,WA,98391.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,31.0,186384005,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070312.0
5YJSA1CG9D,Chelan,Wenatchee,WA,98801.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,12.0,107461490,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961303.0
JN1DF0BB6P,King,Renton,WA,98055.0,2023,NISSAN,ARIYA HATCHBACK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,11.0,286001439,POINT (-122.20784 47.46004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025704.0
7SAYGDEE0R,King,Woodinville,WA,98072.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,261879964,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0
3FMTK3R7XR,King,Seattle,WA,98103.0,2024,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,43.0,271880290,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003601.0
3FMTK3SU8P,Chelan,Wenatchee,WA,98801.0,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,12.0,267137258,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007960700.0
5YJ3E1EA1P,Pierce,University Place,WA,98467.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,28.0,232906887,POINT (-122.54045 47.20742),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072312.0
5YJXCAE24H,King,Redmond,WA,98053.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,45.0,221407420,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032328.0
3FMTK3SU6M,Snohomish,Lynnwood,WA,98037.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,170391525,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051602.0
3GPKHZRJ3R,King,Kent,WA,98030.0,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,273458804,POINT (-122.224 47.37943),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029506.0
5YJYGAEEXM,King,Seattle,WA,98119.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,36.0,264463601,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901.0
7SAYGDEE6T,Jefferson,Port Townsend,WA,98368.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,24.0,278208129,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950604.0
KMUKEDSB8R,Clark,Vancouver,WA,98685.0,2024,GENESIS,GV60,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,277508794,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040904.0
1FADP5FU3H,Jefferson,Port Townsend,WA,98368.0,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20.0,24.0,348365069,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950602.0
1V2JSPE88S,King,Kirkland,WA,98033.0,2025,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,282825182,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
1V2WSPE8XS,King,Seattle,WA,98136.0,2025,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,285184588,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011602.0
5UX43EU04S,King,Seattle,WA,98117.0,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40.0,36.0,285264437,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702.0
2C4RC1S79R,King,Kent,WA,98035.0,2024,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,33.0,272439618,POINT (-122.23427 47.3805),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029701.0
W1N9M0CB0P,King,Seattle,WA,98136.0,2023,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,238117645,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011602.0
7SAYGAEE9R,King,Renton,WA,98059.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,11.0,261051556,POINT (-122.16548 47.53766),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031913.0
2C4RC1N76H,King,Seattle,WA,98108.0,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,11.0,1203331,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402.0
1G1FY6S0XP,Pierce,University Place,WA,98467.0,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,28.0,228444212,POINT (-122.54045 47.20742),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072312.0
1N4BZ1DV0M,King,Auburn,WA,98092.0,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,245297244,POINT (-122.18497 47.28825),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602.0
WA1G2AFY6M,Kitsap,Port Orchard,WA,98367.0,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,35.0,268696361,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,53035092101.0
7PDSGBBA5R,King,Redmond,WA,98053.0,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,263029889,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
KM8JFDD21R,Pierce,Tacoma,WA,98422.0,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,27.0,260619229,POINT (-122.39471 47.28159),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940011.0
5YJ3E1EA1P,Clark,Camas,WA,98607.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,260880553,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040609.0
4JGGM1CB1P,Snohomish,Lynnwood,WA,98036.0,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,260808285,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051932.0
5YJ3E1EA3K,Pierce,Puyallup,WA,98374.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,25.0,220803943,POINT (-122.27575 47.13959),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073111.0
JTMAAAAA3S,Clark,Vancouver,WA,98685.0,2025,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,284726431,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040907.0
5YJYGDEE4L,King,Kent,WA,98031.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,11.0,185901453,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029306.0
5YJ3E1EA0S,King,Sammamish,WA,98074.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,280618173,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317.0
7SAYGDEE6P,Thurston,Olympia,WA,98506.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,22.0,245781924,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100.0
7SAYGDEE4P,King,Issaquah,WA,98029.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,240382964,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218.0
2C4RC1S70R,King,Renton,WA,98057.0,2024,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,11.0,265521196,POINT (-122.20489 47.47532),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026200.0
KNAGV4LD9J,Clark,Vancouver,WA,98685.0,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29.0,18.0,150839244,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040909.0
KM8HC3A60R,Snohomish,Edmonds,WA,98020.0,2024,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,268718719,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502.0
5YJ3E1EA8S,King,Seattle,WA,98144.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,276263431,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000.0
7SAXCDE59P,Snohomish,Bothell,WA,98021.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,277742398,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918.0
7SAYGDEE9T,King,Redmond,WA,98052.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,287013485,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324.0
7SAYGDEF9P,Snohomish,Lynnwood,WA,98036.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,224106956,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051930.0
5YJ3E1EB7S,King,Bellevue,WA,98005.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,277282421,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023702.0
1C4RJXP61S,King,Seatac,WA,98148.0,2025,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,33.0,279213371,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500.0
1GYKPYRL5S,King,Woodinville,WA,98072.0,2025,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,287116749,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0
WDC0G5EB3K,Spokane,Liberty Lake,WA,99019.0,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10.0,4.0,228235906,POINT (-117.1015 47.66829),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013205.0
5YJ3E1EA1N,Snohomish,Everett,WA,98208.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,183182478,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061052114.0
7PDSGABA3R,King,Redmond,WA,98052.0,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,271074842,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.0
5UX43EU08R,King,Kirkland,WA,98034.0,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,1.0,250948995,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
1N4AZ1CP9L,Pierce,Tacoma,WA,98405.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.0,27.0,132186372,POINT (-122.48271 47.24737),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053061300.0
5YJ3E1EB9M,King,Seattle,WA,98116.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,179435553,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009801.0
WBY7Z2C54J,Snohomish,Everett,WA,98203.0,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114.0,38.0,193779351,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041000.0
7PDSGBBA5S,King,Maple Valley,WA,98038.0,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,5.0,272534671,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010.0
5YJSA1E22H,King,Bellevue,WA,98006.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,41.0,177870892,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
JTMABACA2P,Pierce,Tacoma,WA,98444.0,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,29.0,266903255,POINT (-122.43828 47.15258),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053063502.0
7SAXCBE59S,King,Renton,WA,98059.0,2025,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,11.0,279962231,POINT (-122.16548 47.53766),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103.0
5YJYGAEE1M,Snohomish,Bothell,WA,98012.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,161724692,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061051921.0
5YJ3E1EB2S,Douglas,Rock Island,WA,98850.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,12.0,282875428,POINT (-120.14545 47.37163),PUD NO 1 OF DOUGLAS COUNTY,53017950300.0
7SAXCBE64P,Pierce,Gig Harbor,WA,98329.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,255502243,POINT (-122.6658 47.38336),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072601.0
3GN7DLRP8R,King,Covington,WA,98042.0,2024,CHEVROLET,EQUINOX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,272359797,POINT (-122.1179 47.35896),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032005.0
5YJ3E1EBXM,Snohomish,Bothell,WA,98021.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,161564154,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918.0
5XYC34JBXS,King,Kent,WA,98031.0,2025,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,286449019,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405.0
WP0BB2Y19P,King,Redmond,WA,98052.0,2023,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,260471858,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606.0
7SAYGDEE3R,King,Renton,WA,98056.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,11.0,267939976,POINT (-122.2044 47.52136),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025500.0
WB523CF0XR,King,Bellevue,WA,98004.0,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,250950864,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
7SAYGDEE7P,King,Sammamish,WA,98075.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,245457320,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
3GN7DLRP3S,Kitsap,Port Orchard,WA,98367.0,2025,CHEVROLET,EQUINOX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,274580540,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,53035092704.0
3GPKHXRJ3S,Snohomish,Bothell,WA,98012.0,2025,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,283339262,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052107.0
1G1FZ6S01P,Benton,Kennewick,WA,99338.0,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,8.0,253334784,POINT (-119.3118 46.20665),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010815.0
1G1FZ6S09K,Kitsap,Bainbridge Island,WA,98110.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,23.0,209016601,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035091001.0
7FCTGAAA7P,Kitsap,Silverdale,WA,98315.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,23.0,249902551,POINT (-122.70835 47.68926),PUGET SOUND ENERGY INC,53035090300.0
YV4BR00K2M,King,Woodinville,WA,98072.0,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,45.0,271742831,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0
7SAXCAE59P,King,Kirkland,WA,98034.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,256902733,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
WBY43AW0XP,King,Seattle,WA,98144.0,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,233556991,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900.0
KNDRJDJH2S,King,Bellevue,WA,98008.0,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,48.0,272840242,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000.0
YV4H60DA0P,King,Seattle,WA,98112.0,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35.0,43.0,253447722,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200.0
KM8KRDDF3R,King,Kirkland,WA,98033.0,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,258908352,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
1C4RJXN64R,Thurston,Olympia,WA,98502.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,22.0,270975064,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100.0
1GYKPPRK2R,Snohomish,Mill Creek,WA,98012.0,2024,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,261164795,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052006.0
4JGFB4GB5R,Skagit,Anacortes,WA,98221.0,2024,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,48.0,10.0,256295406,POINT (-122.61216 48.51749),PUGET SOUND ENERGY INC,53057940302.0
JN1DF0CD3P,King,Bellevue,WA,98004.0,2023,NISSAN,ARIYA HATCHBACK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,261321203,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805.0
7PDSGBBA8S,Snohomish,Edmonds,WA,98026.0,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,21.0,270709078,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050300.0
7FCEHEB29R,Skagit,Burlington,WA,98233.0,2024,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,10.0,278197202,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951900.0
5YJXCBE22H,Okanogan,Okanogan,WA,98840.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,7.0,215981629,POINT (-119.57959 48.3654),PUD NO 1 OF OKANOGAN COUNTY,53047970700.0
5YJ3E1ET6R,King,Bellevue,WA,98006.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,275495265,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024701.0
7SAYGDEE3T,King,Seattle,WA,98115.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,286936597,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200.0
7SAYGAEE5S,Snohomish,Bothell,WA,98012.0,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,274180693,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052107.0
7SAYGDEE3P,King,Kent,WA,98031.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,33.0,250984471,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029207.0
